,n,pmid,pub_year,doi,cited
370,1538,3073180,1988,10.3109/08830188809051183,10.1084/jem.153.4.897
371,1539,7016339,1981,10.1016/0092-8674(81)90326-3,
372,1540,3627229,1987,10.1038/328823a0,
373,1541,7432506,1980,10.1038/288100a0,10.1093/nar/6.1.195
374,1542,7432506,1980,10.1038/288100a0,10.1016/0022-2836(70)90004-5
375,1543,7432506,1980,10.1038/288100a0,10.1016/0092-8674(76)90213-0
376,1544,7432506,1980,10.1038/288100a0,10.1016/0012-1606(80)90155-4
377,1545,7432506,1980,10.1038/288100a0,10.1038/285147a0
378,1546,7432506,1980,10.1038/288100a0,10.1101/sqb.1978.042.01.108
379,1547,7432506,1980,10.1038/288100a0,10.1038/285628a0
380,1548,7432506,1980,10.1038/288100a0,10.1016/0012-1606(80)90140-2
381,1549,7432506,1980,10.1038/288100a0,10.1073/pnas.75.12.6073
382,1550,7432506,1980,10.1038/288100a0,10.1016/0092-8674(77)90195-7
383,1551,7432506,1980,10.1038/288100a0,10.1038/276292a0
384,1552,7432506,1980,10.1038/288100a0,10.1073/pnas.75.8.3791
385,1553,7432506,1980,10.1038/288100a0,10.1038/278137a0
386,1554,7432506,1980,10.1038/288100a0,10.1093/nar/7.7.1749
387,1555,7432506,1980,10.1038/288100a0,10.1073/pnas.76.6.2590
388,1556,7432506,1980,10.1038/288100a0,10.1073/pnas.75.3.1176
389,1557,7432506,1980,10.1038/288100a0,10.1073/pnas.74.5.2064
390,1558,7432506,1980,10.1038/288100a0,10.1016/0968-0004(77)90362-0
391,1559,7432506,1980,10.1038/288100a0,10.1073/pnas.77.3.1432
392,1560,7432506,1980,10.1038/288100a0,10.1016/0022-2836(79)90173-6
393,1561,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1128/br.38.2.164-198.1974
394,1562,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1073/pnas.84.22.7948
395,1563,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/0092-8674(81)90326-3
396,1564,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1128/jb.104.3.1280-1285.1970
397,1565,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1128/jb.172.7.3584-3589.1990
398,1566,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/0092-8674(82)90036-8
399,1567,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/0022-2836(84)90314-0
400,1568,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/0092-8674(79)90237-x
401,1569,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1128/mcb.6.6.2106
402,1570,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/s0021-9258(18)38046-3
403,1571,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/0022-2836(74)90451-3
404,1572,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1128/jb.93.5.1662-1670.1967
405,1573,2247060,1990,10.1128/mcb.10.12.6356-6361.1990,10.1016/0014-4827(73)90424-2
406,1574,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1126/science.6093260
407,1575,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0092-8674(80)90086-0
408,1576,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1021/bi00311a025
409,1577,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1111/j.1365-2141.1985.tb02959.x
410,1578,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1128/jvi.40.3.953-957.1981
411,1579,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0003-2697(80)90182-7
412,1580,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1093/nar/9.24.7013
413,1581,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1002/ijc.2910320208
414,1582,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0092-8674(83)90092-2
415,1583,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0145-2126(85)90304-2
416,1584,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1128/jvi.40.2.450-455.1981
417,1585,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1128/jvi.36.1.162-170.1980
418,1586,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1073/pnas.79.7.2194
419,1587,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1128/mcb.4.7.1206
420,1588,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1126/science.6585957
421,1589,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1128/mcb.2.6.617
422,1590,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1038/304219a0
423,1591,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0092-8674(84)90217-4
424,1592,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1128/mcb.4.11.2364
425,1593,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1126/science.6538699
426,1594,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1126/science.6254144
427,1595,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1126/science.6494925
428,1596,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1073/pnas.80.24.7385
429,1597,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0014-4827(83)90388-9
430,1598,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1182/blood.v64.6.1234.1234
431,1599,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/s0022-2836(75)80083-0
432,1600,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1016/0022-2836(77)90052-3
433,1601,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1126/science.6687762
434,1602,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1038/310249a0
435,1603,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1073/pnas.79.21.6497
436,1604,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1073/pnas.75.12.6125
437,1605,3915538,1985,10.1128/mcb.5.10.2874-2877.1985,10.1073/pnas.81.14.4534
438,1606,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0092-8674(80)90367-0
439,1607,2169696,1990,10.1016/0065-2571(90)90016-u,10.1146/annurev.bi.56.070187.001111
440,1608,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0006-291x(89)90054-5
441,1609,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0014-4827(87)90120-0
442,1610,2169696,1990,10.1016/0065-2571(90)90016-u,10.1126/science.3018928
443,1611,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0006-291x(88)90276-8
444,1612,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0005-2760(76)90096-5
445,1613,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0092-8674(88)90060-8
446,1614,2169696,1990,10.1016/0065-2571(90)90016-u,10.1038/227680a0
447,1615,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0065-2571(86)90027-0
448,1616,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0092-8674(86)90513-1
449,1617,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0006-291x(87)90283-x
450,1618,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0006-291x(80)91439-4
451,1619,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0022-2836(72)90238-0
452,1620,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(19)68913-1
453,1621,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(18)89778-2
454,1622,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(17)44677-1
455,1623,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(19)52451-6
456,1624,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(19)85068-8
457,1625,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(18)33043-6
458,1626,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(18)68471-6
459,1627,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(18)67133-9
460,1628,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/s0021-9258(19)57270-2
461,1629,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0005-2787(78)90076-x
462,1630,2169696,1990,10.1016/0065-2571(90)90016-u,10.1083/jcb.106.4.1395
463,1631,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0065-2571(82)90019-x
464,1632,2169696,1990,10.1016/0065-2571(90)90016-u,10.1002/jcp.1041160316
465,1633,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0065-2571(89)90061-7
466,1634,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0006-291x(74)90355-6
467,1635,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0014-4827(65)90016-9
468,1636,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0166-2236(88)90197-x
469,1637,2169696,1990,10.1016/0065-2571(90)90016-u,10.1042/bj0960634
470,1638,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0014-4827(86)90491-x
471,1639,2169696,1990,10.1016/0065-2571(90)90016-u,10.1042/bj2520119
472,1640,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0014-5793(88)80698-7
473,1641,2169696,1990,10.1016/0065-2571(90)90016-u,10.1042/bj2480765
474,1642,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0065-2571(79)90013-x
475,1643,2169696,1990,10.1016/0065-2571(90)90016-u,10.1021/bi00316a032
476,1644,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0014-4827(89)90048-7
477,1645,2169696,1990,10.1016/0065-2571(90)90016-u,10.1126/science.6147898
478,1646,2169696,1990,10.1016/0065-2571(90)90016-u,10.1242/jcs.1986.supplement_4.11
479,1647,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0065-2571(88)90010-6
480,1648,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0005-2760(75)90080-6
481,1649,2169696,1990,10.1016/0065-2571(90)90016-u,10.1016/0005-2760(65)90073-1
482,1650,3714493,1986,10.1093/nar/14.9.3671,
483,1651,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/s0021-9258(18)93221-7
484,1652,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/0378-1119(79)90090-8
485,1653,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/s0022-2836(75)80083-0
486,1654,6254837,1980,10.1016/0378-1119(80)90048-7,10.1021/bi00797a018
487,1655,6254837,1980,10.1016/0378-1119(80)90048-7,10.1146/annurev.bi.46.070177.004435
488,1656,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/0005-2795(78)90572-x
489,1657,6254837,1980,10.1016/0378-1119(80)90048-7,10.1093/nar/4.4.801
490,1658,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/0092-8674(76)90062-3
491,1659,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/0014-5793(79)80208-2
492,1660,6254837,1980,10.1016/0378-1119(80)90048-7,10.1093/nar/3.9.2387
493,1661,6254837,1980,10.1016/0378-1119(80)90048-7,10.1093/nar/5.2.583
494,1662,6254837,1980,10.1016/0378-1119(80)90048-7,10.1002/jez.1402030111
495,1663,6254837,1980,10.1016/0378-1119(80)90048-7,10.1038/266273a0
496,1664,6254837,1980,10.1016/0378-1119(80)90048-7,10.1126/science.1237932
497,1665,6254837,1980,10.1016/0378-1119(80)90048-7,10.1126/science.325648
498,1666,6254837,1980,10.1016/0378-1119(80)90048-7,10.1016/0092-8674(76)90214-2
499,1667,6254837,1980,10.1016/0378-1119(80)90048-7,10.1093/nar/5.12.4537
